rank_unknown,Annotation,locus_tag,WP,protein_id_base,UNIPROTKB,gene_symbol,product,Protein_names,prob_ensemble_with_position,prob_logreg_with_position,prob_rf_with_position,prob_xgb_with_position,prob_ensemble_mean_no_position,prob_logreg_no_position,prob_rf_no_position,prob_xgb_no_position,Gene length,Prob_per_len,Prob_per_kb,chromosome_region_start,chromosome_region_end,filamentous_diazotroph_hits,non_diazotroph_hits,Cyanothece_%ID,diazo_hit_count,diazo_hit_frac,diazo_mean_pident,nondiazo_hit_frac,nondiazo_mean_pident,diazo_minus_nondiazo_mean_pident,has_cyanothece_51142_hit,has_nondiazo_hit_80pct,Cyanothece_Prot,Gloeothece_Prot,anabaena_variabilis_atcc29413__Prot,anabaena_variabilis_atcc29413__pident,anabaena_variabilis_atcc29413__evalue,arthrospira_maxima_cs-328__Prot,arthrospira_maxima_cs-328__pident,arthrospira_maxima_cs-328__evalue,crocosphaera_watsonii_wh8501__Prot,crocosphaera_watsonii_wh8501__pident,crocosphaera_watsonii_wh8501__evalue,cyanothece_sp_atcc51142__Prot,cyanothece_sp_atcc51142__pident,cyanothece_sp_atcc51142__evalue,gloeothece_sp_6803__Prot,gloeothece_sp_6803__pident,gloeothece_sp_6803__evalue,nostoc_azollae_0708__Prot,nostoc_azollae_0708__pident,nostoc_azollae_0708__evalue,nostoc_punctiforme_pcc73102__Prot,nostoc_punctiforme_pcc73102__pident,nostoc_punctiforme_pcc73102__evalue,synechococcus_elongatus_pcc7942__Prot,synechococcus_elongatus_pcc7942__pident,synechococcus_elongatus_pcc7942__evalue
11,alr1407,PCC7120DELTA_RS08860,WP_010995579.1,WP_010995579,Q44290,nifV,homocitrate synthase,Homocitrate synthase 1 (EC 2.3.3.14),0.868053404,0.942793658,0.697188647,0.9641779,0.963909184,0.967119827,0.955399245,0.9692085,1234,0.000703447,0.703446843,1671777,1673011,3.0,0.0,0.0,5,0.625,82.974,0.0,,,0.0,0.0,,tr|B7KG83|B7KG83_GLOC7,tr|Q3M625|Q3M625_TRIV2,99.469,0.0,,,,,,,,,,tr|B7KG83|B7KG83_GLOC7,70.3,0.0,tr|D7E3V7|D7E3V7_NOSA0,85.146,0.0,WP_012407235.1,89.655,0.0,,,
12,asr2523,PCC7120DELTA_RS14450,WP_010996679.1,WP_010996679,Q8YU38,PCC7120DELTA_RS14450,hypothetical protein,Asr2523 protein,0.86697516,0.976877366,0.642956971,0.98109114,0.954434463,0.97935444,0.908413376,0.9755356,376,0.002305785,2.305784999,3029693,3030069,1.0,0.0,61.039,8,1.0,68.0125,0.0,,,0.0,0.0,tr|A1KYG2|A1KYG2_CROS5,tr|B7KG58|B7KG58_GLOC7,tr|Q3MG06|Q3MG06_TRIV2,96.703,5.9399999999999996e-61,,,,tr|Q4C9Q8|Q4C9Q8_CROWT,54.545,1.9900000000000003e-31,tr|A1KYG2|A1KYG2_CROS5,61.039,1.1700000000000001e-32,tr|B7KG58|B7KG58_GLOC7,61.842,9.26e-32,tr|D7E2Y1|D7E2Y1_NOSA0,75.325,3.45e-41,WP_012407154.1,71.765,8.21e-43,,,
13,all5344,PCC7120DELTA_RS28265,WP_010999468.1,WP_010999468,Q8YLF4,PCC7120DELTA_RS28265,DUF2141 domain-containing protein,All5344 protein,0.865444476,0.800037852,0.845075062,0.9512205,0.864297441,0.730011317,0.919020654,0.94386035,568,0.00152367,1.523669852,6377947,6378515,1.0,0.0,0.0,3,0.375,75.62366667,0.0,,,0.0,0.0,,,tr|Q3M9Y7|Q3M9Y7_TRIV2,95.484,7.69e-109,,,,,,,,,,,,,tr|D7E4W0|D7E4W0_NOSA0,66.452,1.27e-69,WP_012406879.1,64.935,4.4599999999999995e-67,,,
14,alr3059,PCC7120DELTA_RS17055,WP_010997210.1,WP_010997210,Q8YSM5,PCC7120DELTA_RS17055,GumC family protein,Alr3059 protein,0.864184542,0.957035158,0.707285558,0.9282329,0.921448399,0.957427173,0.852364599,0.9545534,2284,0.000378365,0.37836451,3705859,3708143,1.0,0.0,0.0,1,0.125,96.561,0.0,,,0.0,0.0,,,tr|Q3MEW0|Q3MEW0_TRIV2,96.561,0.0,,,,,,,,,,,,,,,,,,,,,
15,all1435,PCC7120DELTA_RS09000,WP_010995607.1,WP_010995607,Q44147,PCC7120DELTA_RS09000,NifX-associated nitrogen fixation protein,All1435 protein,0.861523631,0.999599384,0.608052395,0.9769191,0.953957426,0.999748019,0.897482331,0.9646419,577,0.001493109,1.493108546,1694055,1694632,1.0,0.0,55.172,8,1.0,65.729625,0.0,,,0.0,0.0,tr|B1WPD5|B1WPD5_CROS5,tr|B7KG69|B7KG69_GLOC7,tr|Q3M646|Q3M646_TRIV2,96.835,1.87e-111,,,,tr|Q4C2Y1|Q4C2Y1_CROWT,57.931,2.48e-63,tr|B1WPD5|B1WPD5_CROS5,55.172,5.8299999999999995e-61,tr|B7KG69|B7KG69_GLOC7,57.895,4.82e-63,tr|D7E3T5|D7E3T5_NOSA0,70.253,1.3199999999999999e-81,WP_012407193.1,74.684,9.87e-88,,,
16,all2127,PCC7120DELTA_RS12475,WP_010996285.1,WP_010996285,Q8YV54,PCC7120DELTA_RS12475,radical SAM/SPASM domain-containing protein,All2127 protein,0.860136916,0.999979602,0.616580649,0.9638505,0.899852427,0.999976345,0.771978526,0.9276024,1459,0.000589539,0.589538668,2550953,2552412,1.0,0.0,0.0,1,0.125,92.478,0.0,,,0.0,0.0,,,tr|Q3MH68|Q3MH68_TRIV2,92.478,0.0,,,,,,,,,,,,,,,,,,,,,
17,alr2524,PCC7120DELTA_RS14455,WP_010996680.1,WP_010996680,Q8YU37,PCC7120DELTA_RS14455,hypothetical protein,Alr2524 protein,0.852992351,0.99913187,0.580482577,0.9793626,0.953054173,0.999173838,0.885575288,0.9744134,412,0.00207037,2.070369785,3029971,3030383,1.0,0.0,42.574,8,1.0,58.42425,0.0,,,0.0,0.0,tr|B1WRR1|B1WRR1_CROS5,tr|B7KIW8|B7KIW8_GLOC7,tr|Q3MG05|Q3MG05_TRIV2,98.058,2.1000000000000002e-73,,,,tr|Q4C4E7|Q4C4E7_CROWT,38.614,8.979999999999999e-23,tr|B1WRR1|B1WRR1_CROS5,42.574,6.29e-26,tr|B7KIW8|B7KIW8_GLOC7,48.515,2.68e-30,tr|D7E2Y2|D7E2Y2_NOSA0,75.728,2.21e-57,WP_012407155.1,72.816,1.0499999999999999e-55,,,
18,all1431,PCC7120DELTA_RS08980,WP_010995603.1,WP_010995603,P18501,PCC7120DELTA_RS08980,HesB/IscA family protein,Protein HesB,0.852813438,0.917680814,0.672330532,0.96842897,0.934670184,0.928219954,0.910015884,0.9657747,472,0.001806808,1.806808132,1692172,1692644,1.0,0.0,53.659,8,1.0,66.212,0.0,,,0.0,0.0,tr|A1KYE6|A1KYE6_CROS5,tr|B7KG65|B7KG65_GLOC7,sp|P46051|HESB1_TRIV2,97.561,8.38e-87,,,,tr|Q4C2X7|Q4C2X7_CROWT,51.639,1.2799999999999998e-40,tr|A1KYE6|A1KYE6_CROS5,53.659,1.1e-43,tr|B7KG65|B7KG65_GLOC7,60.484,1.73e-53,tr|D7E3T1|D7E3T1_NOSA0,78.226,7.2e-70,WP_012407189.1,73.984,3.91e-68,,,
19,alr2840,PCC7120DELTA_RS15955,WP_010996991.1,WP_010996991,Q8YT86,PCC7120DELTA_RS15955,glycosyltransferase family 2 protein,Glycosyltransferase,0.852330042,0.887742663,0.734085158,0.9351623,0.919908812,0.910185921,0.900093658,0.94944686,1048,0.000813292,0.813292025,3460476,3461524,1.0,0.0,0.0,3,0.375,74.36266667,0.0,,,0.0,0.0,,,tr|Q3ME39|Q3ME39_TRIV2,97.778,0.0,,,,,,,,,,,,,tr|D7E1T5|D7E1T5_NOSA0,61.165,2.4e-148,WP_012407810.1,64.145,7.85e-152,,,
20,alr2522,PCC7120DELTA_RS14445,WP_010996678.1,WP_010996678,Q8YU39,PCC7120DELTA_RS14445,hypothetical protein,Alr2522 protein,0.842755417,0.806020112,0.740204543,0.9820416,0.910007934,0.830856032,0.927962358,0.9712054,526,0.001602197,1.602196611,3029120,3029646,1.0,0.0,0.0,3,0.375,71.95033333,0.0,,,0.0,0.0,,,tr|Q3MG07|Q3MG07_TRIV2,97.872,1.22e-96,,,,,,,,,,,,,tr|D7E2Y0|D7E2Y0_NOSA0,55.479,1.84e-45,WP_012407153.1,62.5,1.15e-57,,,
21,asr2513,PCC7120DELTA_RS14405,WP_010996669.1,WP_010996669,P58567,fdxB,ferredoxin III%2C nif-specific,Ferredoxin-3 (Ferredoxin III) (FdIII),0.841367265,1.0,0.60395223,0.92014956,0.904636296,1.0,0.800817705,0.9130912,394,0.00213545,2.135449911,3020222,3020616,3.0,0.0,63.542,7,0.875,75.11157143,0.0,,,0.0,0.0,tr|B1WPE8|B1WPE8_CROS5,tr|B7KG60|B7KG60_GLOC7,tr|Q3MG15|Q3MG15_TRIV2,100.0,4.68e-69,,,,,,,tr|B1WPE8|B1WPE8_CROS5,63.542,1.64e-32,tr|B7KG60|B7KG60_GLOC7,68.421,3.2299999999999997e-46,tr|D7DZP5|D7DZP5_NOSA0,81.443,4.3e-45,WP_012407144.1,80.412,2.65e-43,,,
22,all1433,PCC7120DELTA_RS08990,WP_010995605.1,WP_010995605,Q44149,nifW,nitrogenase-stabilizing/protective protein NifW,Nitrogenase-stabilizing/protective protein NifW,0.838386842,0.95655047,0.5953199,0.96329015,0.938303748,0.962694149,0.886829035,0.96538806,418,0.00200571,2.005710147,1693429,1693847,1.0,0.0,55.446,8,1.0,64.255,0.0,,,0.0,0.0,tr|A1KYE4|A1KYE4_CROS5,sp|B7KG67|NIFW_GLOC7,sp|Q3M644|NIFW1_TRIV2,100.0,1.07e-71,,,,tr|Q4C2X9|Q4C2X9_CROWT,51.456,7.310000000000001e-35,tr|A1KYE4|A1KYE4_CROS5,55.446,6.85e-36,sp|B7KG67|NIFW_GLOC7,53.465,7.16e-34,tr|D7E3T3|D7E3T3_NOSA0,73.333,9.909999999999999e-52,WP_012407191.1,71.429,2.36e-51,,,
23,all2571,PCC7120DELTA_RS14670,WP_010996727.1,WP_010996727,Q8YTZ2,PCC7120DELTA_RS14670,BON domain-containing protein,All2571 protein,0.833266837,0.999797368,0.567201658,0.9328015,0.898871687,0.999760927,0.770892759,0.9259614,550,0.001515031,1.515030613,3072373,3072923,1.0,0.0,0.0,3,0.375,64.23066667,0.0,,,0.0,0.0,,,tr|Q3MFW2|Q3MFW2_TRIV2,93.289,1.78e-93,,,,,,,,,,,,,tr|D7E5I6|D7E5I6_NOSA0,45.098,6.62e-29,WP_012411985.1,54.305,9.81e-42,,,
24,alr2838,PCC7120DELTA_RS15945,WP_044521515.1,WP_044521515,,PCC7120DELTA_RS15945,glycosyltransferase family 2 protein,,0.832369237,0.994177379,0.59610616,0.9068242,0.934111184,0.994008935,0.857976239,0.9503484,886,0.000939469,0.939468664,3458380,3459266,1.0,0.0,0.0,1,0.125,96.271,0.0,,,0.0,0.0,,,tr|Q3ME41|Q3ME41_TRIV2,96.271,0.0,,,,,,,,,,,,,,,,,,,,,
25,asl2299,PCC7120DELTA_RS13345,WP_010996456.1,WP_010996456,Q8YUN8,PCC7120DELTA_RS13345,hypothetical protein,Asl2299 protein,0.831048934,0.996555519,0.533384216,0.96320707,0.926859159,0.997172474,0.839167295,0.9442377,325,0.002557074,2.557073643,2769895,2770220,2.0,0.0,0.0,2,0.25,93.919,0.0,,,0.0,0.0,,,tr|Q3MGZ3|Q3MGZ3_TRIV2,100.0,3.11e-49,,,,,,,,,,,,,,,,WP_012410844.1,87.838,4.31e-44,,,
26,asr1734,PCC7120DELTA_RS10475,WP_010995902.1,WP_010995902,Q8YW82,PCC7120DELTA_RS10475,Npun_R1517 family heterocyst differentiation transcriptional regulator,Asr1734 protein,0.823787519,0.998683836,0.534867168,0.93781155,0.874203645,0.998828605,0.709219091,0.91456324,382,0.002156512,2.15651183,2086294,2086676,3.0,0.0,0.0,3,0.375,93.81133333,0.0,,,0.0,0.0,,,tr|Q3MGF8|Q3MGF8_TRIV2,100.0,1.41e-64,,,,,,,,,,,,,tr|D7DZV1|D7DZV1_NOSA0,90.323,6.91e-59,WP_012408225.1,91.111,2.26e-57,,,
27,alr2824,PCC7120DELTA_RS15875,WP_010996975.1,WP_010996975,Q8YTA0,PCC7120DELTA_RS15875,tetratricopeptide repeat protein,Alr2824 protein,0.822591465,0.842611227,0.696611614,0.92855155,0.901542215,0.853889283,0.898686497,0.95205086,2299,0.000357804,0.35780403,3438313,3440612,1.0,0.0,0.0,3,0.375,76.373,0.0,,,0.0,0.0,,,tr|Q3ME57|Q3ME57_TRIV2,96.995,0.0,,,,,,,,,,,,,tr|D7E1V1|D7E1V1_NOSA0,62.637,0.0,WP_012407828.1,69.487,0.0,,,
28,alr3353,PCC7120DELTA_RS18505,WP_044521720.1,WP_044521720,,PCC7120DELTA_RS18505,peptidoglycan DD-metalloendopeptidase family protein,,0.819559619,0.999235216,0.629932535,0.8295111,0.862815457,0.998886975,0.743188578,0.8463708,2383,0.000343919,0.343919269,4056586,4058969,1.0,0.0,0.0,3,0.375,67.03533333,0.0,,,0.0,0.0,,,tr|Q3M883|Q3M883_TRIV2,93.263,0.0,,,,,,,,,,,,,tr|D7DXM4|D7DXM4_NOSA0,50.682,0.0,WP_012412308.1,57.161,0.0,,,
29,all2128,PCC7120DELTA_RS12480,WP_010996286.1,WP_010996286,Q8YV53,PCC7120DELTA_RS12480,hypothetical protein,All2128 protein,0.813354625,0.999999412,0.492136272,0.9479282,0.885488524,0.99999948,0.738849487,0.9176166,439,0.001852744,1.85274402,2552483,2552922,1.0,0.0,0.0,1,0.125,83.186,0.0,,,0.0,0.0,,,tr|Q3MH67|Q3MH67_TRIV2,83.186,1.06e-63,,,,,,,,,,,,,,,,,,,,,
30,alr3646,PCC7120DELTA_RS19960,WP_010997790.1,WP_010997790,Q8YR12,PCC7120DELTA_RS19960,TetR/AcrR family transcriptional regulator,Transcriptional regulator,0.808786683,0.93332684,0.586944498,0.9060887,0.769831282,0.911100496,0.5671639,0.83122945,703,0.001150479,1.150478923,4399419,4400122,1.0,0.0,0.0,3,0.375,64.46533333,0.0,,,0.0,0.0,,tr|B7KG50|B7KG50_GLOC7,tr|Q3M6Y9|Q3M6Y9_TRIV2,95.0,1.49e-143,,,,,,,,,,tr|B7KG50|B7KG50_GLOC7,49.198,7.619999999999999e-61,,,,,,,,,
31,all1424,PCC7120DELTA_RS08945,WP_010995596.1,WP_010995596,Q8YWZ5,PCC7120DELTA_RS08945,hypothetical protein,All1424 protein,0.805477305,0.996445521,0.473237302,0.9467491,0.899916613,0.997097385,0.782195927,0.9204565,475,0.001695742,1.695741694,1687471,1687946,1.0,0.0,43.81,6,0.75,62.50816667,0.0,,,0.0,0.0,tr|B1WWB1|B1WWB1_CROS5,,tr|Q3M635|Q3M635_TRIV2,98.387,5.89e-91,,,,tr|Q4C1T0|Q4C1T0_CROWT,38.235,9.670000000000001e-21,tr|B1WWB1|B1WWB1_CROS5,43.81,9.79e-27,,,,tr|D7E3R7|D7E3R7_NOSA0,72.581,1.32e-66,WP_012407183.1,78.226,1.76e-71,,,
32,all1425,PCC7120DELTA_RS08950,WP_010995597.1,WP_010995597,Q8YWZ4,PCC7120DELTA_RS08950,nitroreductase family protein,All1425 protein,0.805244068,0.94333062,0.540686809,0.9317148,0.954042327,0.962649482,0.937716859,0.96176064,1387,0.000580565,0.580565297,1687863,1689250,1.0,0.0,0.0,4,0.5,72.93,0.0,,,0.0,0.0,,tr|B7KG56|B7KG56_GLOC7,tr|Q3M636|Q3M636_TRIV2,94.393,0.0,,,,,,,,,,tr|B7KG56|B7KG56_GLOC7,60.373,0.0,,,,WP_012407184.1,76.581,0.0,,,
33,alr2831,PCC7120DELTA_RS15910,WP_010996982.1,WP_010996982,Q8YT93,PCC7120DELTA_RS15910,NAD(P)H-dependent oxidoreductase,Alr2831 protein,0.805057185,0.966031418,0.586458033,0.8626821,0.928607317,0.969781984,0.865684498,0.95035547,1414,0.000569347,0.569347373,3446884,3448298,3.0,0.0,0.0,3,0.375,90.04466667,0.0,,,0.0,0.0,,,tr|Q3ME48|Q3ME48_TRIV2,99.085,0.0,,,,,,,,,,,,,tr|D7E1U4|D7E1U4_NOSA0,82.719,0.0,WP_012407819.1,88.33,0.0,,,
34,all3792,PCC7120DELTA_RS20675,WP_010997933.1,WP_010997933,Q8YQM8,PCC7120DELTA_RS20675,CAP domain-containing protein,All3792 protein,0.804180032,0.99649602,0.570805091,0.845239,0.817333398,0.99513281,0.621178792,0.8356886,652,0.001233405,1.233404956,4583318,4583970,1.0,0.0,0.0,3,0.375,76.18666667,0.0,,,0.0,0.0,,,tr|Q3MBV1|Q3MBV1_TRIV2,96.319,1.91e-117,,,,,,,,,,,,,tr|D7DYT0|D7DYT0_NOSA0,60.656,3.24e-77,WP_012410513.1,71.585,7.6199999999999995e-93,,,
35,all1456,PCC7120DELTA_RS09090,WP_010995627.1,WP_010995627,P20628,nifU,Fe-S cluster assembly protein NifU,Nitrogen fixation protein NifU,0.803451617,0.997356715,0.569377955,0.8436202,0.848288121,0.997943143,0.724825887,0.82209533,1003,0.000801048,0.801048471,1714500,1715503,2.0,0.0,66.0,7,0.875,74.645,0.0,,,0.0,0.0,tr|B1WPC7|B1WPC7_CROS5,tr|B7KG77|B7KG77_GLOC7,tr|Q3M666|Q3M666_TRIV2,98.333,0.0,,,,,,,tr|B1WPC7|B1WPC7_CROS5,66.0,7.14e-141,tr|B7KG77|B7KG77_GLOC7,64.784,2.52e-134,tr|D7E3U3|D7E3U3_NOSA0,78.947,2.0400000000000003e-179,WP_012407222.1,83.667,0.0,,,
36,alr2841,PCC7120DELTA_RS15960,WP_010996992.1,WP_010996992,Q8YT85,PCC7120DELTA_RS15960,O-antigen ligase family protein,Alr2841 protein,0.798616072,0.743421447,0.688159574,0.9642672,0.835421363,0.755333903,0.794563588,0.9563666,1525,0.000523683,0.52368267,3461448,3462973,1.0,0.0,0.0,3,0.375,67.133,0.0,,,0.0,0.0,,,tr|Q3ME38|Q3ME38_TRIV2,97.89,0.0,,,,,,,,,,,,,tr|D7E1T4|D7E1T4_NOSA0,51.586,7.759999999999999e-176,WP_012407809.1,51.923,2.47e-178,,,
37,alr2520,PCC7120DELTA_RS14435,WP_010996676.1,WP_010996676,Q8YU41,PCC7120DELTA_RS14435,ArsC/Spx/MgsR family protein,Alr2520 protein,0.783477422,0.889706238,0.533067829,0.9276582,0.903356615,0.90283988,0.861352829,0.94587713,616,0.001271879,1.271878932,3026565,3027181,1.0,0.0,56.738,8,1.0,64.936125,0.0,,,0.0,0.0,tr|A1KYC3|A1KYC3_CROS5,tr|B7KCG7|B7KCG7_GLOC7,tr|Q3MG09|Q3MG09_TRIV2,98.246,8.63e-126,,,,tr|Q4C2Z9|Q4C2Z9_CROWT,51.773,2.5800000000000002e-47,tr|A1KYC3|A1KYC3_CROS5,56.738,4.6e-54,tr|B7KCG7|B7KCG7_GLOC7,55.172,1.2199999999999999e-54,tr|D7DZN5|D7DZN5_NOSA0,74.843,2.04e-85,WP_012407150.1,70.807,1.08e-84,,,
38,all2126,PCC7120DELTA_RS12470,WP_044521243.1,WP_044521243,,PCC7120DELTA_RS12470,hypothetical protein,,0.783023138,0.797256423,0.604560123,0.94725287,0.900019492,0.841681893,0.902598163,0.9557784,1030,0.000760217,0.760216639,2549962,2550992,1.0,0.0,0.0,1,0.125,93.373,0.0,,,0.0,0.0,,,tr|Q3MH69|Q3MH69_TRIV2,93.373,0.0,,,,,,,,,,,,,,,,,,,,,
