Annotation,ENS_PRED,Gene length,Prob_per_len,GENES,UNIPROTKB,WP,non_diazotroph_hits,diazotroph_hits,unicellular_diazotroph_hits,filamentous_diazotroph_hits,avg_group_pident,Protein_names
alr0691,0.530893638315523,1090,0.00048705838377570925,alr0691,Q9WWQ1,WP_010994866,,,,,,Alr0691 protein
alr2440,0.5307511676323857,1105,0.00048031779876234003,alr2440,Q8YUB2,WP_010996596,0.0,5.0,0.0,5.0,92.216,(S)-8-amino-7-oxononanoate synthase BioU (EC 2.6.1.121) (8-amino-7-oxononanoate carboxylating dehydrogenase)
all2869,0.5291070039582381,1405,0.0003765886149168954,all2869,Q8YT57,WP_010997020,,,,,,All2869 protein
alr3863,0.5249702843679797,886,0.000592517250979661,alr3863,Q8YQG8,WP_010998004,,,,,,Alr3863 protein
alr4619,0.5242982265825369,901,0.0005819070217342252,alr4619,Q8YNE7,WP_010998750,,,,,,Alr4619 protein
alr4057,0.5241478787614333,1909,0.00027456672538576915,alr4057,Q8YPY3,WP_010998197,,,,,,Alr4057 protein
alr4492,0.5241387388326993,1129,0.00046425043297847597,alr4492,Q8YNR9,WP_010998625,,,,,,Alr4492 protein
all4688,0.5240289702771276,988,0.0005303936946124773,all4688,Q8YN82,WP_010998819,,,,,,All4688 protein
all4316,0.5234091281613598,1210,0.00043256952740608246,all4316,Q8YP83,WP_010998454,0.0,5.0,0.0,5.0,89.59700000000001,Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)
alr3064,0.5196423880828767,1513,0.00034345167751677244,alr3064,Q8YSM0,WP_010997215,,,,,,Alr3064 protein
all3792,0.519217257715633,652,0.0007963454872939157,all3792,Q8YQM8,WP_010997933,,,,,,All3792 protein
alr2832,0.5176572165906984,1189,0.00043537192312085655,alr2832,Q8YT92,WP_010996983,0.0,5.0,0.0,5.0,89.48275000000001,Alr2832 protein
all2585,0.5145719392388514,1141,0.0004509832946878627,all2585,Q8YTX8,WP_010996741,,,,,,Iron(III) dicitrate transport system permease protein
asl4022,0.5133657493458739,385,0.0013334175307685035,asl4022,Q44556,WP_010998162,,,,,,Putative RNA-binding protein RbpD
alr3715,0.5128696874552768,400,0.001282174218638192,alr3715,Q8YQV1,WP_010997858,,,,,,Alr3715 protein
alr4392,0.5127628379457002,772,0.0006642005672871764,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein)
alr4392,0.5127628379457002,772,0.0006642005672871764,alr4392,P0A4U6,WP_010998529,3.0,10.0,5.0,5.0,99.55175,Global nitrogen regulator (DNA-binding protein VF1) (Nitrogen-responsive regulatory protein)
all3538,0.5115402152799187,1390,0.00036801454336684794,all3538,Q8YRB0,WP_010997688,0.0,5.0,0.0,5.0,93.29825,Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)
all4121,0.5110978117224456,1423,0.0003591692281956751,all4121,P58558,WP_010998260,0.0,5.0,0.0,5.0,88.093,Ferredoxin--NADP reductase (FNR) (EC 1.18.1.2)
all2868,0.5099008175947485,796,0.0006405789165763172,all2868,Q8YT58,WP_010997019,,,,,,All2868 protein
alr3057,0.5098710423053022,1315,0.0003877346329317888,alr3057,Q8YSM7,WP_010997208,,,,,,Alr3057 protein
alr2829,0.5083428786707048,913,0.0005567829996393262,alr2829,Q8YT95,WP_010996980,,,,,,Alr2829 protein
alr3921,0.5075889663230718,1456,0.0003486187955515603,alr3921,Q8YQB2,WP_010998062,0.0,5.0,0.0,5.0,87.71875,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]
alr3095,0.5071254171336389,1069,0.0004743923453074265,alr3095,Q8YSJ0,WP_010997246,0.0,5.0,0.0,5.0,88.66449999999999,Alr3095 protein (Arsenite methyltransferase)
alr2888,0.5053947503161514,478,0.001057311193130024,alr2888,Q8YT38,WP_010997039,,,,,,Alr2888 protein
alr2464,0.5050975197376055,1189,0.0004248086793419727,alr2464,Q8YU90,WP_010996620,,,,,,Alr2464 protein
alr5358,0.5010990856165828,964,0.000519812329477783,alr5358,P37694,WP_010999482,,,,,,Ketoacyl reductase HetN (EC 1.3.1.-)
asr5262,0.5004758780974575,280,0.0017874138503480626,asr5262,Q7A273,WP_010999386,0.0,5.0,0.0,5.0,88.41050000000001,CAB/ELIP/HLIP superfamily of protein
alr5065,0.5003799823154861,1585,0.0003156971497258587,alr5065,Q8YM75,WP_010999191,0.0,5.0,0.0,5.0,87.7875,UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)
all4190,0.5001422591929859,451,0.0011089628806939822,all4190,Q8YPK4,WP_010998329,0.0,5.0,0.0,5.0,91.16375,Large ribosomal subunit protein bL17 (50S ribosomal protein L17)
alr2935,0.4983653896354824,1216,0.00040983995858181115,alr2935,Q8YSZ4,WP_010997086,,,,,,Probable endolytic peptidoglycan transglycosylase RlpA (EC 4.2.2.-)
alr2828,0.4983393755778899,1114,0.00044734234791552054,alr2828,Q8YT96,WP_010996979,,,,,,Alr2828 protein
alr4798,0.498330070035704,1303,0.00038244825021926634,alr4798,Q8YMX6,WP_010998928,0.0,7.0,2.0,5.0,92.975,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)
all4826,0.4981672436481831,1045,0.0004767150656920412,all4826,Q8YMV0,WP_010998954,1.0,5.0,0.0,5.0,91.71975,"GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)"
alr2791,0.4978129693851498,3670,0.00013564386086788822,alr2791,Q8YTD1,WP_010996942,,,,,,WD-repeat protein
all1704,0.4964202971144154,820,0.0006053906062370919,all1704,Q8YWB1,WP_010995873,,,,,,Two-component response regulator
all2571,0.4949986947220584,550,0.0008999976267673788,all2571,Q8YTZ2,WP_010996727,,,,,,All2571 protein
all5058,0.4946503826325862,658,0.0007517483018732313,all5058,Q44247,WP_010999184,1.0,5.0,0.0,5.0,92.162,Elongation factor P (EF-P)
alr3858,0.4946122558064099,1387,0.00035660580807960336,alr3858,P45482,WP_010997999,0.0,5.0,0.0,5.0,93.99175,Cell division protein FtsZ
asl4328,0.4925832954185281,307,0.001604505848268821,asl4328,Q8YP72,WP_010998466,0.0,5.0,0.0,5.0,88.74974999999999,Asl4328 protein
alr1850,0.491784191625055,2314,0.00021252557978610848,alr1850,Q8YVW9,WP_010996018,1.0,5.0,0.0,5.0,91.2145,Alr1850 protein
alr3883,0.4916075444802754,598,0.0008220861947830692,alr3883,Q8YQF0,WP_010998024,0.0,5.0,0.0,5.0,89.71375,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)"
alr3357,0.4882381979865949,1315,0.0003712838007502623,alr3357,Q8YRT6,WP_010997508,,,,,,Alr3357 protein
all1476,0.4876254213402739,556,0.0008770241391012121,all1476,Q8YWW8,WP_010995646,,,,,,All1476 protein
all3797,0.4876168833181715,886,0.0005503576561153177,all3797,Q8YQM3,WP_010997938,,,,,,All3797 protein
alr2629,0.4874639672233873,412,0.0011831649689888041,alr2629,Q8YTT4,WP_010996785,,,,,,Alr2629 protein
alr2708,0.48548098259714,1135,0.0004277365485437357,alr2708,Q8YTK9,WP_010996861,1.0,8.0,3.0,5.0,94.19225,Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1)
all4426,0.4845772034835821,1354,0.0003578856746555259,all4426,Q8YNY3,WP_010998561,,,,,,All4426 protein
asr2016,0.4837656096393901,394,0.0012278314965466753,asr2016,Q8YVG2,WP_010996177,,,,,,Asr2016 protein
asl4211,0.4835049432346353,379,0.0012757386365029955,asl4211,Q8YPI3,WP_010998349,2.0,10.0,5.0,5.0,94.83675,Small ribosomal subunit protein uS19 (30S ribosomal protein S19)
alr2831,0.4835001574995979,1414,0.0003419378765909462,alr2831,Q8YT93,WP_010996982,0.0,5.0,0.0,5.0,90.0735,Alr2831 protein
alr4329,0.4834520251839255,439,0.001101257460555639,alr4329,Q8YP71,WP_010998467,,,,,,Anti-sigma factor antagonist
all2128,0.4832357932977112,439,0.0011007649050061759,all2128,Q8YV53,WP_010996286,,,,,,All2128 protein
all3000,0.4826087372187499,1237,0.00039014449249696843,all3000,Q8YST4,WP_010997151,,,,,,type I site-specific deoxyribonuclease (EC 3.1.21.3)
all1456,0.482063460815799,1003,0.0004806215960277158,all1456,P20628,WP_010995627,,,,,,Nitrogen fixation protein NifU
alr2837,0.4811051564689499,1075,0.0004475396804362325,alr2837,Q8YT89,WP_010996988,,,,,,Glycosyltransferase
alr3283,0.4809446930375491,2719,0.00017688293234187168,alr3283,Q8YS09,WP_010997434,0.0,5.0,0.0,5.0,88.83049999999999,Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)
alr2895,0.4802817867761109,880,0.000545774757700126,alr2895,Q8YT31,WP_010997046,3.0,10.0,5.0,5.0,92.05275,Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)
all5194,0.4795774019034247,1261,0.0003803151482184177,all5194,Q8YLV2,WP_010999318,,,,,,Glycosyltransferase
all3717,0.4790280275454655,1867,0.00025657634040999756,all3717,Q8YQU9,WP_010997860,0.0,5.0,0.0,5.0,89.75325000000001,Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
alr3890,0.4789931621629177,841,0.0005695519169594741,alr3890,Q8YQE3,WP_010998031,,,,,,Alr3890 protein
all3826,0.4782616514025968,826,0.0005790092631992697,all3826,Q8YQJ7,WP_010997967,,,,,,All3826 protein
all1288,0.4774185709393153,1252,0.00038132473717197705,all1288,Q8YXC6,WP_010995460,,,,,,All1288 protein
asl3721,0.4770245348384379,295,0.00161703232148623,asl3721,Q8YQU5,WP_010997864,,,,,,Periplasmic mercuric ion binding protein
all1862,0.4768889018951939,1102,0.00043274854981415053,all1862,Q8YVW1,WP_010996026,,,,,,All1862 protein
alr1337,0.4763481867536356,1042,0.00045714797193247177,alr1337,Q8YX78,WP_010995509,,,,,,Alr1337 protein
all3521,0.4761984762878781,439,0.0010847345701318408,all3521,Q8YRC7,WP_010997671,,,,,,All3521 protein
alr2560,0.4730132426252091,1060,0.0004462389081369897,alr2560,Q8YU01,WP_010996716,,,,,,Alr2560 protein
alr0699,0.4722612029283253,442,0.0010684642600188355,alr0699,O30461,WP_010994874,,,,,,Hydrogenase maturation factor HypA
alr3946,0.4721568810638726,925,0.0005104398714204029,alr3946,Q8YQ88,WP_010998087,,,,,,Putative ABC transporter ATP-binding protein alr3946 (EC 7.-.-.-)
alr5360,0.4712565800247375,928,0.0005078195905438982,alr5360,Q8YLE2,WP_010999484,,,,,,Alr5360 protein
all4375,0.4699468989876479,904,0.0005198527643668671,all4375,Q8YP26,WP_010998512,,,,,,All4375 protein
all2501,0.4698213238509928,1327,0.0003540477195561362,all2501,P58666,WP_010996657,3.0,10.0,5.0,5.0,94.9755,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin) (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)
alr3062,0.4690261571087475,1066,0.0004399870141733091,alr3062,Q8YSM2,WP_010997213,,,,,,Alr3062 protein
all2777,0.4684162738746906,400,0.0011710406846867265,all2777,Q9WX37,WP_010996928,,,,,,Putative RNA-binding protein RbpE
all3840,0.4682749088715787,628,0.0007456606829165266,all3840,Q44241,WP_010997981,0.0,5.0,0.0,5.0,89.87899999999999,NAD(P)H-quinone oxidoreductase subunit J (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit J) (NADH-plastoquinone oxidoreductase subunit J) (NDH-1 subunit J) (NDH-J)
all3254,0.4681547115320834,538,0.0008701760437399319,all3254,Q8YS37,WP_010997405,,,,,,All3254 protein
all5057,0.4660064807439396,649,0.000718037720714853,all5057,Q06881,WP_010999183,,,,,,Biotin carboxyl carrier protein of acetyl-CoA carboxylase (BCCP)
alr2478,0.4657242885904313,496,0.0009389602592549018,alr2478,Q8YU76,WP_010996634,,,,,,Alr2478 protein
all2487,0.464752274549722,775,0.0005996803542577059,all2487,Q8YU67,WP_010996643,,,,,,All2487 protein
alr2374,0.4640930715989932,490,0.0009471287175489658,alr2374,Q8YUH2,WP_010996530,,,,,,Alr2374 protein
asl4743,0.4637297333110609,292,0.0015881155250378797,asl4743,Q8YN27,WP_010998874,,,,,,Asl4743 protein
all4428,0.4632890885612613,1336,0.00034677326988118357,all4428,Q8YNY1,WP_010998563,,,,,,All4428 protein
asr1714,0.4629978924307394,373,0.001241281212951044,asr1714,Q8YWA1,WP_010995883,,,,,,Asr1714 protein
alr3622,0.4607138424260517,523,0.0008809060084628139,alr3622,Q8YR31,WP_010997768,,,,,,Alr3622 protein
asl3409,0.4602048152901661,394,0.0011680325261171729,asl3409,Q8YRN5,WP_010997559,0.0,5.0,0.0,5.0,90.464,proton-translocating NAD(P)(+) transhydrogenase (EC 7.1.1.1)
alr3204,0.4585938105470834,481,0.000953417485544872,alr3204,Q8YS87,WP_010997355,,,,,,Alr3204 protein
alr2625,0.4582964160705518,1144,0.0004006087553064264,alr2625,Q8YTT8,WP_010996781,,,,,,Transcriptional regulator
alr2785,0.4575377706251302,2050,0.00022318915640250252,alr2785,Q8YTD7,WP_010996936,,,,,,Alr2785 protein
alr2582,0.4575346261815607,1072,0.00042680468860220214,alr2582,Q8YTY1,WP_010996738,,,,,,Alr2582 protein
all4193,0.457307391907276,481,0.0009507430185182453,all4193,Q8YPK1,WP_010998332,3.0,10.0,5.0,5.0,95.63475,Small ribosomal subunit protein uS13 (30S ribosomal protein S13)
asr1734,0.4572705231412925,382,0.0011970432542965774,asr1734,Q8YW82,WP_010995902,0.0,5.0,0.0,5.0,93.47675,Asr1734 protein
alr5272,0.4556190908994047,2356,0.00019338671090806653,alr5272,Q8YLM6,WP_010999396,,,,,,histidine kinase (EC 2.7.13.3)
alr2947,0.454842932538058,532,0.0008549679183046204,alr2947,Q8YSY2,WP_010997098,,,,,,Alr2947 protein
all4336,0.4539810251226892,418,0.0010860790074705483,all4336,Q8YP64,WP_010998474,3.0,10.0,5.0,5.0,99.762,Small ribosomal subunit protein uS10 (30S ribosomal protein S10)
all5046,0.4539442952472086,505,0.0008988995945489279,all5046,Q8YM90,WP_010999172,,,,,,All5046 protein
alr2524,0.4539358189752276,412,0.0011017859683864748,alr2524,Q8YU37,WP_010996680,,,,,,Alr2524 protein
alr1713,0.4537856458527867,448,0.001012914388064256,alr1713,Q8YWA2,WP_010995882,,,,,,Alr1713 protein
asl1778,0.4537440360674351,337,0.001346421472010193,asl1778,Q8YW38,WP_010995946,,,,,,Asl1778 protein
asl3261,0.4533192150697339,298,0.0015212054196970936,asl3261,Q8YS30,WP_010997412,,,,,,Asl3261 protein
all4689,0.4514457265500919,610,0.0007400749615575277,all4689,Q8YN81,WP_010998820,,,,,,All4689 protein
alr4111,0.4511450473074576,2251,0.0002004198344324556,alr4111,Q8YPT0,WP_010998250,,,,,,Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)
alr3864,0.4504769087626353,1291,0.0003489364126743883,alr3864,Q8YQG7,WP_010998005,0.0,5.0,0.0,5.0,84.917,Alr3864 protein
all2498,0.4500218778545024,1069,0.00042097462848877677,all2498,P54894,WP_010996654,,,,,,N-acetyl-gamma-glutamyl-phosphate reductase 2 (AGPR 2) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase 2) (NAGSA dehydrogenase 2)
alr1613,0.4486266959403426,859,0.0005222662350877097,alr1613,Q8YWK0,WP_010995782,,,,,,peptidylprolyl isomerase (EC 5.2.1.8)
alr3491,0.4485901666816621,1141,0.000393155273165348,alr3491,Q8YRF7,WP_010997641,,,,,,Alr3491 protein
asl1840,0.4483516593977443,352,0.001273726305107228,asl1840,Q8YVX9,WP_010996008,,,,,,Asl1840 protein
alr4554,0.4481165631513966,973,0.00046055145236525855,alr4554,Q8YNL1,WP_010998686,,,,,,"6-carboxy-5,6,7,8-tetrahydropterin synthase (EC 4.1.2.50) (Queuosine biosynthesis protein QueD)"
all1747,0.4479027484790721,451,0.0009931324799979425,all1747,Q8YW69,WP_010995915,,,,,,All1747 protein
alr3882,0.447554801145587,859,0.0005210183948144202,alr3882,Q8YQF1,WP_010998023,0.0,5.0,0.0,5.0,91.4135,tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)
all2006,0.4471764642137792,1249,0.00035802759344578,all2006,Q8YVH2,WP_010996167,,,,,,All2006 protein
alr1677,0.4469467259262856,943,0.00047396259377124666,alr1677,Q8YWD6,WP_010995846,,,,,,Alr1677 protein
all4187,0.4467774184331289,517,0.000864172956350346,all4187,Q8YPK7,WP_010998326,1.0,7.0,2.0,5.0,95.47125,Small ribosomal subunit protein uS9 (30S ribosomal protein S9)
all0192,0.4464345655972082,1762,0.00025336808490193424,all0192,Q8Z0A6,WP_010994369,,,,,,non-specific serine/threonine protein kinase (EC 2.7.11.1)
asr2932,0.4461156055063568,355,0.0012566636774826953,asr2932,Q8YSZ7,WP_010997083,1.0,5.0,0.0,5.0,93.35075,Asr2932 protein
alr3606,0.4450427658846268,1393,0.0003194851154950659,alr3606,Q8YR44,WP_010997755,,,,,,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.-)
all3940,0.4445275016203205,535,0.0008308925263931224,all3940,Q8YQ94,WP_010998081,0.0,5.0,0.0,5.0,91.43725,All3940 protein
alr1921,0.44380165151913,1108,0.0004005430067862184,alr1921,Q8YVQ3,WP_010996085,0.0,5.0,0.0,5.0,88.64725000000001,Biotin synthase (EC 2.8.1.6)
all2244,0.4426447396669659,2008,0.00022044060740386746,all2244,Q8YUT7,WP_010996402,,,,,,All2244 protein
alr4840,0.4424271967041127,1696,0.00026086509239629286,alr4840,P48575,WP_010998968,3.0,10.0,5.0,5.0,94.67975,2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)
all3084,0.4418701014161215,769,0.0005746035128948264,all3084,Q8YSK1,WP_010997235,,,,,,All3084 protein
asl3784,0.4418343716905867,376,0.0011750914140707092,asl3784,Q8YQN6,WP_010997925,,,,,,Asl3784 protein
alr2790,0.4413487492216581,487,0.0009062602653422138,alr2790,Q8YTD2,WP_010996941,,,,,,Alr2790 protein
asl2403,0.4410610741275431,394,0.0011194443505775206,asl2403,Q8YUE7,WP_010996559,,,,,,Asl2403 protein
all4202,0.4404958212081727,502,0.0008774817155541289,all4202,Q8YPJ2,WP_010998340,1.0,5.0,0.0,5.0,93.42075,Small ribosomal subunit protein uS8 (30S ribosomal protein S8)
all2636,0.4373770248226152,676,0.0006470074331695491,all2636,Q8YTS7,WP_010996792,,,,,,All2636 protein
alr2972,0.4369274703818278,748,0.0005841276342003045,alr2972,Q8YSV8,WP_010997123,0.0,5.0,0.0,5.0,88.23575,Alr2972 protein
all1663,0.4367515165233586,1591,0.00027451383816678727,all1663,Q8YWF0,WP_010995832,,,,,,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)"
alr2840,0.4360790608147136,1048,0.0004161059740598412,alr2840,Q8YT86,WP_010996991,,,,,,Glycosyltransferase
all4608,0.4359282027820376,493,0.0008842357054402385,all4608,Q8YNF8,WP_010998739,,,,,,Glycine cleavage system H protein
all3879,0.4352609225673703,2806,0.0001551179339156701,all3879,P58572,WP_010998020,0.0,5.0,0.0,5.0,94.3675,Cyanophycin synthetase (EC 6.3.2.29) (EC 6.3.2.30) (Cyanophycin synthase)
all4071,0.4345061600685959,1786,0.00024328452411455536,all4071,Q8YPW9,WP_010998211,,,,,,Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)
all3964,0.4338005792826361,1528,0.00028390090267188224,all3964,Q8YQ71,WP_010998105,0.0,5.0,0.0,5.0,94.01475,Phosphoglucomutase/phosphomannomutase
alr3337,0.4337177397780212,448,0.0009681199548616544,alr3337,Q8YRV5,WP_010997488,,,,,,Alr3337 protein
alr3400,0.4336092892528371,1270,0.0003414246372069583,alr3400,Q8YRP4,WP_010997550,1.0,10.0,5.0,5.0,95.4935,UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Cyanobacterial UDP-glucose pyrophosphorylase) (UDP-glucose pyrophosphorylase) (UDP-Glc PPase)
all0396,0.4335932148256358,1582,0.000274079149700149,all0396,Q8YZR1,WP_010994572,,,,,,"Diaminobutyrate--2-oxoglutarate transaminase (EC 2.6.1.76) (DABA aminotransferase) (Diaminobutyrate--2-oxoglutarate aminotransferase) (L-2,4-diaminobutyric acid transaminase)"
asl1305,0.4332998403882244,373,0.0011616617704778133,asl1305,Q8YXB0,WP_010995477,,,,,,Asl1305 protein
all3914,0.432911103023813,1327,0.00032623293370294876,all3914,Q8YQB9,WP_010998055,,,,,,Succinyl-CoA synthetase beta chain
asl2100,0.4326672927479745,376,0.0011507108849680174,asl2100,Q8YV81,WP_010996258,,,,,,Asl2100 protein
